Titulo,Descripcion,Fecha,Predicted_Label
mesa congreso censuro encuentro internacional parlamentario prosahar parlamento,portavoz ciudadano pnv upn psoe unidos pp equo denunciar junto censura considerar injustificable,2018-10-30,0
brecha digital dificulto acceso ayuda persona vulnerable llegar momento rendir,primero vez ciudadano vulnerable topar obstaculo hora solicitar ayuda debido lenguaje burocratico obligatoriedad cl ver pin conexion internet,2023-03-15,1
pp apremiar equo presentar propuesto gobierno criticar el paralisis institucional,partido morado reprochar socialista paralizado congreso 350 diputado poder trabajar actividad continuar mano tendido iniciar negociacion gobierno,2019-07-01,0
soberano garante democraciar rey corrupto apartado desheredado,renuncia felipe ver herencia procedente multimillonario comision embolsada juan carlos i eliminacion asignacion presupuestario padre rey emerito dar puntilla trayectoria soberano designado dictador encumbrado eeuu alabado transicion reverenciado tras 23-f acabado humillado excluir negocio inconfesabl comisionista alto vuelo,2020-03-16,1
gobierno aprobar martes detraer beneficio extraordinario electrico reducir precio luz gas,ejecutivo prorrogacer suspension impuesto generacion electrico final ano bajar minimo impuesto especial luz 5.1 0.5 sanchez defender grande empresa electrico poder permitir detraccion beneficio lograr consecuencio evolucion mercado,2021-09-13,1
sanchez presentar presupuesto gran aumento partidas social ingreso aire,prever recaudacion record 227000 millon basado impuesto todavia aprobado espectacular crecimiento dependencia beca violencia genero pobreza infantil montero decir cuenta mantener compromiso adquirido unido poder cumplir inversion previsto estatut catalunya,2019-01-11,1
casa real ofrecer matiz discurso franquista rey juan carlos,figura excepcional ejemplo unico amor espana termino utilizar monarca referir el dictador distinto historiador senalar documento contradecir version edulcorado periodo,2019-06-30,1
junta electoral pedir canal sur extreme cuidado campana vulnerar neutralidad favor pp,junta electoral central estimado parcialmente recurso presentar psoe andalucia senalar direccion canal sur television vulnerar articulo 66 ley organico regulador regimen electoral general loreg,2022-05-12,1
no poder gobernar erc hacer independencia contar conmigo,exministro sanidad considerar catalunya perdido decado situar derrota coronaviru reactivacion economico prioridad proximo ejecutivo autonomico concreto como resolver conflicto politico alla apelar dialogo,2021-02-05,1
detenido ultra frente casa pablo monico garcia josu erkoreka atentado autoridad,guardia civil detenido hombre vinculado haztir oir agredir agente guardia civil frente vivienda vicepresidente segundo gobierno despues juez dictado orden alejamiento hostigamiento,2020-12-31,0
santiago abascal candidato presidencia mocion censuro vox,basicamente solo punto programa convocar eleccion general segun adelantado diario mundo,2020-08-24,1
jueza enfrento marlaska sonar posible directora general guardia civil,carmen rodriguez-medel llevar pablo casado supremo instruir master cristina cifuent acabar carrera asesor justicia epoca pp,2020-05-27,1
almeido hacer foto 50 obra puesto marcha carmen,jose manuel yeremi vargas exconcejal desarrollo urbano sostenible dus pedido actual alcalde reconozca herencia recibido materia equipamiento infraestructura obra publico parte equipo anterior gobierno,2019-08-08,0
iniciativo vers per catalunya boluarte volcar pau ricoma andalucia pese apoyar santamacer primario,formacion conservador intensifico presion equo aclarar si apostar respaldar ejecutivo socialista si preferir iniciativo vers per catalunya pablo boluarte dar domingo pistoletazo salido precampana malago adelanto electoral francisco vazquez fuerza iniciativo vers per catalunya retrasar convencion agendado inicio diciembre,2018-10-10,0
